ID;Strain;RT_s;Compound;Clasificacion;BioTr_label;BioTr_count;MW;LogP;Silicos_class;GI_abs;BBB;Fold_change;p_value;Significance;Mutagenicity;pNOEC;NOEC;NOEC_num;cat;fqs_sol;fqs_gi;fqs_bbb;fqs_pers;fqs_noec;fqs_cin;FQS
1;StrainC;354.2;2,3-Dihydroxbenzoic Acid/2,4-Dihydroxybenzoic Acid;Otro;Estabilidad Máxima;0;154.12;-1.89;Soluble;High;No;617.6288659793814;0.0157753256592188;Significant Increase;NON-Mutagenic;-0.332;2149.0;2149.0;OTHER;10;10;10;10;10;10;60
2;StrainC;602.5;3-(2,3-Dihydroxyphenyl)propanoic acid;Otro;Estabilidad Máxima;0;182.17;-1.36;Soluble;High;No;321.7871485943775;0.0187474684906312;Significant Increase;NON-Mutagenic;-0.703;5042.0;5042.0;OTHER;10;10;10;10;10;10;60
3;StrainC;306.4;2-Acetolactic acid/4-Hydroxy-2-oxopentanoic acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;0;132.11;-0.07;Soluble;High;No;14.67213114754098;0.02572313506302;Significant Increase;NON-Mutagenic;-0.679;4777.0;4777.0;AMI;10;10;10;10;10;10;60
4;StrainC;180.2;2-Hydroxyglutaric Acid;Otro;Estabilidad Máxima;0;148.11;0.12;Soluble;High;No;8.357738938749803;0.0020400267243543;Significant Increase;NON-Mutagenic;-1124.0;13292.0;13292.0;OTHER;10;10;10;10;10;10;60
5;StrainC;244.459;2-Oxoglutaramic acid;Solubilizadores y transportadores de nutrientes;Asimilación Nutricional Inmediata;114;145.11;0.5;Soluble;High;No;2.625400213447171;0.0331317585852825;Significant Increase;NON-Mutagenic;-2122.0;132413.0;132413.0;SOL;10;10;10;5;10;0;45
6;StrainC;398.254;3-Methyl-2-oxobutanoic acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;0;116.12;-0.88;Soluble;High;No;79.9074074074074;0.005705740665891;Significant Increase;NON-Mutagenic;-1032.0;10765.0;10765.0;AMI;10;10;10;10;10;10;60
7;StrainC;443.955;4-Methyl-2-Oxopentanoic Acid/2-Methyl-3-Ketovaleric Acid/3-Methyl-2-Oxo-Valeric Acid;Otro;Estabilidad Máxima;0;130.14;-1.04;Soluble;High;Yes;36.35164835164835;0.0227980430597147;Significant Increase;NON-Mutagenic;-0.881;7603.0;7603.0;OTHER;10;10;0;10;10;10;50
8;StrainC;307.4;2-Oxoadipic acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;0;160.12;-0.16;Soluble;High;No;5.566147859922178;0.006464651008178;Significant Increase;NON-Mutagenic;-0.488;3078.0;3078.0;AMI;10;10;10;10;10;10;60
9;StrainC;280.4;3,4-Dihydroxybenzoic acid;Fitohormonas y analogos hormonales;Estabilidad Moderada;7;154.12;-1.86;Soluble;High;No;12.65232974910394;0.0259828198635028;Significant Increase;NON-Mutagenic;-0.37;2343.0;2343.0;FIT;10;10;10;7;10;5;52
10;StrainB;280.4;3,4-Dihydroxybenzoic acid;Fitohormonas y analogos hormonales;Estabilidad Moderada;7;154.12;-1.86;Soluble;High;No;35.51075268817204;0.0434212775278425;Significant Increase;NON-Mutagenic;-0.37;2343.0;2343.0;FIT;10;10;10;7;10;5;52
11;StrainD;268.8;3-Aminopropanal;Otro;Estabilidad Máxima;0;73.09;0.65;Soluble;High;No;3.415800415800415;0.0353887436669095;Significant Increase;NON-Mutagenic;-1339.0;21808.0;21808.0;OTHER;10;10;10;10;10;10;60
12;StrainC;246.042;3-Hydroxyisobutyric acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;1;104.1;-0.11;Soluble;High;No;16.41213901125796;0.0038402395149252;Significant Increase;NON-Mutagenic;-1045.0;11082.0;11082.0;AMI;10;10;10;10;10;10;60
13;StrainC;331.906;2-Oxo-2,3-dihydrofuran-5-acetic acid;Otro;Estabilidad Máxima;0;142.11;-0.39;Soluble;High;No;4.298120953734408;0.0151694487183062;Significant Increase;NON-Mutagenic;-1051.0;11251.0;11251.0;OTHER;10;10;10;10;10;10;60
14;StrainC;455.8;Hydrocinnamic Acid/3-Methylphenylacetic Acid;Otro;Estabilidad Máxima;0;150.17;-2.14;Soluble;High;Yes;1.716332378223496;0.0202173865998328;Significant Increase;NON-Mutagenic;-0.901;7967.0;7967.0;OTHER;10;10;0;10;10;10;50
15;StrainD;269.545;Isomer 1 of 4-Aminobutyraldehyde;Otro;Estabilidad Máxima;0;87.12;0.4;Soluble;High;No;1.515882127822426;0.0017141853048934;Significant Increase;NON-Mutagenic;-1205.0;16.04;16.04;OTHER;10;10;10;10;8;10;58
16;StrainB;491.016;4-Hydroxybenzaldehyde/3-Hydroxybenzaldehyde;Otro;Estabilidad Máxima;0;122.12;-1.87;Soluble;High;Yes;2.566420664206642;0.0210159697090903;Significant Increase;NON-Mutagenic;-0.604;4021.0;4021.0;OTHER;10;10;0;10;10;10;50
17;StrainC;316.5;4-Hydroxyphenylacetic acid;Metabolitos de defensa y fitoprotección;Estabilidad Moderada;3;152.15;-1.53;Soluble;High;Yes;54.28998505231689;0.0005031579649658;Significant Increase;NON-Mutagenic;-0.729;5362.0;5362.0;DEF;10;10;0;7;10;5;42
18;StrainC;278.578;4-Hydroxybenzoic acid;Metabolitos de defensa y fitoprotección;Estabilidad Moderada;3;138.12;-2.07;Soluble;High;Yes;4.687012987012987;0.0002923013390733;Significant Increase;NON-Mutagenic;-0.77;5888.0;5888.0;DEF;10;10;0;7;10;5;42
19;StrainC;233.1;5-Aminolevulinic acid/5-Amino-2-oxopentanoic acid;Solubilizadores y transportadores de nutrientes;Estabilidad Máxima;1;131.13;2.01;Soluble;High;No;19.10798122065728;0.0217182206210533;Significant Increase;NON-Mutagenic;-2117.0;130937.0;130937.0;SOL;10;10;10;10;10;10;60
20;StrainC;265.7;5-Aminopentanoic acid;Otro;Estabilidad Máxima;0;117.15;1.35;Soluble;High;No;7.206060606060607;0.0268886335833355;Significant Increase;NON-Mutagenic;-3172.0;1487564.0;1487564.0;OTHER;10;10;10;10;10;10;60
